Model,feature_selection,NOF,Scaler,Encoder,Imputer,R2,MAE
RandomForestRG,VarianceThreshold,110,Normalizer,LabelEncoder,SimpleImputer,0.7265352718132507,27775.79823630137
RandomForestRG,VarianceThreshold,120,Normalizer,LabelEncoder,SimpleImputer,0.7235698043901156,28604.169783105022
RandomForestRG,VarianceThreshold,130,Normalizer,LabelEncoder,SimpleImputer,0.7222079897843046,27908.95743150685
RandomForestRG,VarianceThreshold,140,Normalizer,LabelEncoder,SimpleImputer,0.722265459559255,28062.101529680363
RandomForestRG,VarianceThreshold,150,Normalizer,LabelEncoder,SimpleImputer,0.7226952113742621,28038.77545662101
RandomForestRG,VarianceThreshold,160,Normalizer,LabelEncoder,SimpleImputer,0.7313331470656881,27915.12888127854
RandomForestRG,VarianceThreshold,170,Normalizer,LabelEncoder,SimpleImputer,0.7372484726605888,27763.00053652968
RandomForestRG,VarianceThreshold,180,Normalizer,LabelEncoder,SimpleImputer,0.7042795758326408,30203.60894977169
RandomForestRG,VarianceThreshold,190,Normalizer,LabelEncoder,SimpleImputer,0.7071494136499009,29632.47401826484
RandomForestRG,VarianceThreshold,200,Normalizer,LabelEncoder,SimpleImputer,0.7067438739980811,29790.14373287671
RandomForestRG,VarianceThreshold,210,Normalizer,LabelEncoder,SimpleImputer,0.7143042275455236,29380.59561643836
RandomForestRG,VarianceThreshold,220,Normalizer,LabelEncoder,SimpleImputer,0.7171819636697492,29261.081541095893
RandomForestRG,VarianceThreshold,230,Normalizer,LabelEncoder,SimpleImputer,0.7157224337699897,29350.28406392694
RandomForestRG,VarianceThreshold,240,Normalizer,LabelEncoder,SimpleImputer,0.7150728955548652,29343.029006849312
RandomForestRG,VarianceThreshold,250,Normalizer,LabelEncoder,SimpleImputer,0.7065164648948852,29349.950011415527
RandomForestRG,VarianceThreshold,260,Normalizer,LabelEncoder,SimpleImputer,0.7059036044392293,29267.68392694064
RandomForestRG,VarianceThreshold,270,Normalizer,LabelEncoder,SimpleImputer,0.701346957161431,28816.81144977169
RandomForestRG,VarianceThreshold,280,Normalizer,LabelEncoder,SimpleImputer,0.7007024285873285,29367.225
RandomForestRG,VarianceThreshold,290,Normalizer,LabelEncoder,SimpleImputer,0.7011500663628996,29332.83342465753
RandomForestRG,VarianceThreshold,300,Normalizer,LabelEncoder,SimpleImputer,0.7106407126146863,28660.37368721461
RandomForestRG,VarianceThreshold,310,Normalizer,LabelEncoder,SimpleImputer,0.7046623755259139,29065.630856164385
RandomForestRG,VarianceThreshold,320,Normalizer,LabelEncoder,SimpleImputer,0.7063150986447086,28901.36422374429
RandomForestRG,VarianceThreshold,330,Normalizer,LabelEncoder,SimpleImputer,0.6996380762276184,29349.969178082192
RandomForestRG,VarianceThreshold,340,Normalizer,LabelEncoder,SimpleImputer,0.702879427309774,29022.4544520548
RandomForestRG,VarianceThreshold,350,Normalizer,LabelEncoder,SimpleImputer,0.7081863409824175,28743.78373613829
RandomForestRG,VarianceThreshold,360,Normalizer,LabelEncoder,SimpleImputer,0.6941272207665721,29342.23368721461
RandomForestRG,VarianceThreshold,370,Normalizer,LabelEncoder,SimpleImputer,0.6936012883430098,29242.06421232877
RandomForestRG,VarianceThreshold,380,Normalizer,LabelEncoder,SimpleImputer,0.6997894673597124,29208.673847031965
RandomForestRG,VarianceThreshold,390,Normalizer,LabelEncoder,SimpleImputer,0.7031621333547711,29074.37029680365
RandomForestRG,VarianceThreshold,400,Normalizer,LabelEncoder,SimpleImputer,0.6949388273425028,29081.11445694716
RandomForestRG,VarianceThreshold,410,Normalizer,LabelEncoder,SimpleImputer,0.6940719954769643,29343.74029680365
RandomForestRG,VarianceThreshold,420,Normalizer,LabelEncoder,SimpleImputer,0.696808878956293,29416.03775114156
RandomForestRG,VarianceThreshold,430,Normalizer,LabelEncoder,SimpleImputer,0.7012054001152621,28695.340776255707
RandomForestRG,VarianceThreshold,440,Normalizer,LabelEncoder,SimpleImputer,0.7059602355678869,29069.93792237444
RandomForestRG,VarianceThreshold,450,Normalizer,LabelEncoder,SimpleImputer,0.6984756048173042,28966.96106164384
RandomForestRG,VarianceThreshold,460,Normalizer,LabelEncoder,SimpleImputer,0.7079276074954827,29075.16742009133
RandomForestRG,VarianceThreshold,470,Normalizer,LabelEncoder,SimpleImputer,0.7074600522786672,28817.418892694062
RandomForestRG,VarianceThreshold,480,Normalizer,LabelEncoder,SimpleImputer,0.7089900781845437,29068.90848173516
RandomForestRG,VarianceThreshold,490,Normalizer,LabelEncoder,SimpleImputer,0.6974321838857134,29253.60940639269
RandomForestRG,UFS,5,Normalizer,LabelEncoder,SimpleImputer,0.6687812486121705,33612.57855016283
RandomForestRG,UFS,15,Normalizer,LabelEncoder,SimpleImputer,0.7580825303046432,28402.44350456621
RandomForestRG,UFS,25,Normalizer,LabelEncoder,SimpleImputer,0.7915900042270498,26474.52941780822
RandomForestRG,UFS,35,Normalizer,LabelEncoder,SimpleImputer,0.795561723956296,26445.235582191784
RandomForestRG,UFS,45,Normalizer,LabelEncoder,SimpleImputer,0.8078777472592981,25083.50462328767
RandomForestRG,UFS,55,Normalizer,LabelEncoder,SimpleImputer,0.8144374276302313,22590.72421232877
RandomForestRG,UFS,65,Normalizer,LabelEncoder,SimpleImputer,0.8177654115057207,22879.817808219177
RandomForestRG,UFS,75,Normalizer,LabelEncoder,SimpleImputer,0.8027918411870525,22974.180205479453
RandomForestRG,UFS,85,Normalizer,LabelEncoder,SimpleImputer,0.8166456766313384,22430.739554794523
RandomForestRG,UFS,95,Normalizer,LabelEncoder,SimpleImputer,0.8117933089375727,22598.46650684932
RandomForestRG,UFS,105,Normalizer,LabelEncoder,SimpleImputer,0.8156553557430175,22413.449212328767
RandomForestRG,UFS,115,Normalizer,LabelEncoder,SimpleImputer,0.8203588329380382,22434.259246575344
RandomForestRG,VarianceThreshold,100,Minmaxscaler,LabelEncoder,SimpleImputer,0.8138811205621146,22748.478458904105
RandomForestRG,VarianceThreshold,110,Minmaxscaler,LabelEncoder,SimpleImputer,0.8103075487743419,22516.794143835614
RandomForestRG,VarianceThreshold,120,Minmaxscaler,LabelEncoder,SimpleImputer,0.817362687859931,22437.47054794521
RandomForestRG,VarianceThreshold,130,Minmaxscaler,LabelEncoder,SimpleImputer,0.811826171063949,22688.82051369863
RandomForestRG,VarianceThreshold,140,Minmaxscaler,LabelEncoder,SimpleImputer,0.8103257765379961,22484.11253424657
RandomForestRG,VarianceThreshold,150,Minmaxscaler,LabelEncoder,SimpleImputer,0.8154220084934614,22399.926438356164
RandomForestRG,VarianceThreshold,160,Minmaxscaler,LabelEncoder,SimpleImputer,0.8122516548984122,22517.63893835616
RandomForestRG,VarianceThreshold,170,Minmaxscaler,LabelEncoder,SimpleImputer,0.8126430736040767,22659.84198630137
RandomForestRG,VarianceThreshold,180,Minmaxscaler,LabelEncoder,SimpleImputer,0.8132006858617102,22901.577979452057
RandomForestRG,VarianceThreshold,190,Minmaxscaler,LabelEncoder,SimpleImputer,0.815623001820903,23080.452089041097
RandomForestRG,VarianceThreshold,200,Minmaxscaler,LabelEncoder,SimpleImputer,0.8082760122832098,22885.1223630137
RandomForestRG,VarianceThreshold,210,Minmaxscaler,LabelEncoder,SimpleImputer,0.8171948929588682,22529.827705479453
RandomForestRG,VarianceThreshold,220,Minmaxscaler,LabelEncoder,SimpleImputer,0.8154469643202691,22289.221815068493
RandomForestRG,VarianceThreshold,230,Minmaxscaler,LabelEncoder,SimpleImputer,0.8184806499519446,22445.57636986301
RandomForestRG,VarianceThreshold,240,Minmaxscaler,LabelEncoder,SimpleImputer,0.8163046348453489,22271.61376712329
RandomForestRG,VarianceThreshold,250,Minmaxscaler,LabelEncoder,SimpleImputer,0.8145002105819201,22813.60726027397
RandomForestRG,VarianceThreshold,260,Minmaxscaler,LabelEncoder,SimpleImputer,0.8087165446663204,22633.12797945205
RandomForestRG,VarianceThreshold,270,Minmaxscaler,LabelEncoder,SimpleImputer,0.8168331924351292,22657.123904109587
RandomForestRG,VarianceThreshold,280,Minmaxscaler,LabelEncoder,SimpleImputer,0.8087867809552512,22577.07883561644
RandomForestRG,VarianceThreshold,290,Minmaxscaler,LabelEncoder,SimpleImputer,0.818490735295031,22249.665034246576
RandomForestRG,VarianceThreshold,300,Minmaxscaler,LabelEncoder,SimpleImputer,0.8174671102473808,22528.08431506849
RandomForestRG,VarianceThreshold,310,Minmaxscaler,LabelEncoder,SimpleImputer,0.8127212310445013,22608.03284246576
RandomForestRG,VarianceThreshold,320,Minmaxscaler,LabelEncoder,SimpleImputer,0.8204169374495525,22609.9397260274
RandomForestRG,VarianceThreshold,330,Minmaxscaler,LabelEncoder,SimpleImputer,0.8098346745000902,23031.248150684933
RandomForestRG,VarianceThreshold,340,Minmaxscaler,LabelEncoder,SimpleImputer,0.8113919322599152,22577.603732876712
RandomForestRG,VarianceThreshold,350,Minmaxscaler,LabelEncoder,SimpleImputer,0.8223022489633462,22305.277876712327
RandomForestRG,VarianceThreshold,360,Minmaxscaler,LabelEncoder,SimpleImputer,0.8049528901735776,22824.75462328767
RandomForestRG,VarianceThreshold,370,Minmaxscaler,LabelEncoder,SimpleImputer,0.8199997029651673,22398.619006849312
RandomForestRG,VarianceThreshold,380,Minmaxscaler,LabelEncoder,SimpleImputer,0.8119817987230598,22801.74976027397
RandomForestRG,VarianceThreshold,390,Minmaxscaler,LabelEncoder,SimpleImputer,0.8148561060505582,22291.880719178083
RandomForestRG,VarianceThreshold,400,Minmaxscaler,LabelEncoder,SimpleImputer,0.8079160415904303,22957.48602739726
RandomForestRG,VarianceThreshold,410,Minmaxscaler,LabelEncoder,SimpleImputer,0.8005155203340597,23156.66575342466
RandomForestRG,VarianceThreshold,420,Minmaxscaler,LabelEncoder,SimpleImputer,0.8177112134909617,22600.505171232875
RandomForestRG,VarianceThreshold,430,Minmaxscaler,LabelEncoder,SimpleImputer,0.8096801568865235,22577.32410958904
RandomForestRG,VarianceThreshold,440,Minmaxscaler,LabelEncoder,SimpleImputer,0.806808588107848,22948.765273972604
RandomForestRG,VarianceThreshold,450,Minmaxscaler,LabelEncoder,SimpleImputer,0.8102162054568323,23096.35421232877
RandomForestRG,VarianceThreshold,460,Minmaxscaler,LabelEncoder,SimpleImputer,0.8072111131376022,22470.200719178083
RandomForestRG,VarianceThreshold,470,Minmaxscaler,LabelEncoder,SimpleImputer,0.8060970754360993,22897.822157534247
RandomForestRG,VarianceThreshold,480,Minmaxscaler,LabelEncoder,SimpleImputer,0.8155727802334547,22483.986815068496
RandomForestRG,VarianceThreshold,490,Minmaxscaler,LabelEncoder,SimpleImputer,0.8133652253367109,22749.997260273973
RandomForestRG,UFS,5,Minmaxscaler,LabelEncoder,SimpleImputer,0.6782143582429676,32977.29716752901
RandomForestRG,UFS,15,Minmaxscaler,LabelEncoder,SimpleImputer,0.771763878049674,27176.0869520548
RandomForestRG,UFS,25,Minmaxscaler,LabelEncoder,SimpleImputer,0.7960757191721024,26266.77133561644
RandomForestRG,UFS,35,Minmaxscaler,LabelEncoder,SimpleImputer,0.7947619412730922,26081.604863013697
RandomForestRG,UFS,45,Minmaxscaler,LabelEncoder,SimpleImputer,0.8061741477352605,24914.33503424657
RandomForestRG,UFS,55,Minmaxscaler,LabelEncoder,SimpleImputer,0.8190002496861357,22722.92832191781
RandomForestRG,UFS,65,Minmaxscaler,LabelEncoder,SimpleImputer,0.8115069412451861,22702.784589041094
RandomForestRG,UFS,75,Minmaxscaler,LabelEncoder,SimpleImputer,0.8092405218376082,22835.2819520548
RandomForestRG,UFS,85,Minmaxscaler,LabelEncoder,SimpleImputer,0.8150968541639676,22850.17811643836
RandomForestRG,UFS,95,Minmaxscaler,LabelEncoder,SimpleImputer,0.8184091350259539,22446.64890410959
RandomForestRG,UFS,105,Minmaxscaler,LabelEncoder,SimpleImputer,0.8113279586243336,22499.60613013699
RandomForestRG,UFS,115,Minmaxscaler,LabelEncoder,SimpleImputer,0.818969727512732,22395.97897260274
RandomForestRG,VarianceThreshold,100,,LabelEncoder,KnnImputer,0.8118438411116997,22737.66544520548
RandomForestRG,VarianceThreshold,110,,LabelEncoder,KnnImputer,0.8059236385639617,22557.873767123285
RandomForestRG,VarianceThreshold,120,,LabelEncoder,KnnImputer,0.814641767686681,22467.203321917805
RandomForestRG,VarianceThreshold,130,,LabelEncoder,KnnImputer,0.808913469643438,22801.52479452055
RandomForestRG,VarianceThreshold,140,,LabelEncoder,KnnImputer,0.8145088944939953,22575.47626712329
RandomForestRG,VarianceThreshold,150,,LabelEncoder,KnnImputer,0.8128203575854547,22469.703082191783
RandomForestRG,VarianceThreshold,160,,LabelEncoder,KnnImputer,0.8079841122227692,22750.442602739728
RandomForestRG,VarianceThreshold,170,,LabelEncoder,KnnImputer,0.822046292044107,22479.18821917809
RandomForestRG,VarianceThreshold,180,,LabelEncoder,KnnImputer,0.8081132193485394,22762.528630136985
RandomForestRG,VarianceThreshold,190,,LabelEncoder,KnnImputer,0.8177756332644621,22297.205034246577
RandomForestRG,VarianceThreshold,200,,LabelEncoder,KnnImputer,0.8042339626701018,22836.68979452055
RandomForestRG,VarianceThreshold,210,,LabelEncoder,KnnImputer,0.8175579726503271,22421.90859589041
RandomForestRG,VarianceThreshold,220,,LabelEncoder,KnnImputer,0.8101180252460144,22952.413047945203
RandomForestRG,VarianceThreshold,230,,LabelEncoder,KnnImputer,0.821432851613803,22576.097910958903
RandomForestRG,VarianceThreshold,240,,LabelEncoder,KnnImputer,0.8184378461659155,22369.60828767123
RandomForestRG,VarianceThreshold,250,,LabelEncoder,KnnImputer,0.81725360054761,22231.03770547945
RandomForestRG,VarianceThreshold,260,,LabelEncoder,KnnImputer,0.820597375999906,22333.43215753425
RandomForestRG,VarianceThreshold,270,,LabelEncoder,KnnImputer,0.8195900642006092,22456.48544520548
RandomForestRG,VarianceThreshold,280,,LabelEncoder,KnnImputer,0.8120687594755869,22859.09106164384
RandomForestRG,VarianceThreshold,290,,LabelEncoder,KnnImputer,0.7994469548400233,22716.648664383563
RandomForestRG,VarianceThreshold,300,,LabelEncoder,KnnImputer,0.8133576107515419,22198.593287671232
RandomForestRG,VarianceThreshold,310,,LabelEncoder,KnnImputer,0.8164071437344799,22041.70547945205
RandomForestRG,VarianceThreshold,320,,LabelEncoder,KnnImputer,0.81901732907203,22408.483869863016
RandomForestRG,VarianceThreshold,330,,LabelEncoder,KnnImputer,0.8189348923347893,22831.57339041096
RandomForestRG,VarianceThreshold,340,,LabelEncoder,KnnImputer,0.8100924192739618,22564.648767123286
RandomForestRG,VarianceThreshold,350,,LabelEncoder,KnnImputer,0.8024889636224071,23195.486130136986
RandomForestRG,VarianceThreshold,360,,LabelEncoder,KnnImputer,0.8107806098358293,23277.26239726027
RandomForestRG,VarianceThreshold,370,,LabelEncoder,KnnImputer,0.8249644151126073,22698.916335616435
RandomForestRG,VarianceThreshold,380,,LabelEncoder,KnnImputer,0.8096801901481968,22657.90428082192
RandomForestRG,VarianceThreshold,390,,LabelEncoder,KnnImputer,0.8145206578195685,22504.38773972603
RandomForestRG,VarianceThreshold,400,,LabelEncoder,KnnImputer,0.8157991105292514,22628.168869863013
RandomForestRG,VarianceThreshold,410,,LabelEncoder,KnnImputer,0.8047850742004962,22993.14578767124
RandomForestRG,VarianceThreshold,420,,LabelEncoder,KnnImputer,0.8193440250289008,22417.59202054795
RandomForestRG,VarianceThreshold,430,,LabelEncoder,KnnImputer,0.8141339211182897,22592.43828767124
RandomForestRG,VarianceThreshold,440,,LabelEncoder,KnnImputer,0.8160419334151878,22570.5519520548
RandomForestRG,VarianceThreshold,450,,LabelEncoder,KnnImputer,0.816509743998156,22804.95424657534
